image,prompt
0019.png,"a close up of a computer screen with a cat on it, glitchcore witchcore, glitchcore, glitchwave, glitchpunk, glitch art aesthetic, beautiful cosmic neural network, glitchcore rebirth, immersed within a glitch network, datamoshing, algorithmic, data bending"
0055.png,"a close up of a computer screen with a lot of text, glitchcore witchcore, immersed within a glitch network, abstract art representing data, beautiful cosmic neural network, glitchcore, data bending, glitchwave, glitchcore rebirth, datamoshing, datamoshed, corrupted data, algorithmic, esoteric equation heaven"
0095.png,"arafed image of a man talking on a cell phone, glitchcore witchcore, glitchwave, glitchcore, glitch art aesthetic, glitchpunk, glitchcore rebirth, digital glitches, immersed within a glitch network, datamoshed"
0051.png,"a close up of a computer screen with a picture of a person, glitchcore witchcore, glitchcore, glitchwave, glitchcore rebirth, glitchpunk, glitch art aesthetic, weirdcore, datamoshing, abstract art representing data, immersed within a glitch network, weirdcore voidpunk fursona, data bending"
0040.png,"a close up of a computer screen with a lot of text, glitchcore witchcore, glitchcore, glitchcore rebirth, glitchwave, glitchpunk, weirdcore, immersed within a glitch network, glitch art aesthetic, beautiful cosmic neural network, breakcore"
0080.png,"arafed image of a computer screen with a person on it, glitch art aesthetic, glitchcore witchcore, immersed within a glitch network, datamoshing, static colorful noise glitch, glitchwave, corrupted file, glitchcore, glitchpunk, abstract art representing data, corrupted data, frictional games, graphical errors"
0075.png,"a close up of a computer screen with a lot of text, glitch art aesthetic, glitchcore witchcore, immersed within a glitch network, glitchcore, glitchwave, static colorful noise glitch, glitchpunk, unexpected glitch art, beautiful cosmic neural network, abstract art representing data, glitch art, digital glitches"
0088.png,"there is a computer screen with a picture of a person on it, glitchwave, glitch art aesthetic, lost in code, corrupted data, glitchcore, corrupted file, glitchpunk, datamoshed, digital glitches, glitchcore witchcore, data bending, abstract art representing data, glitch effects, algorithmic"
0083.png,"a close up of a computer screen with a lot of text, glitchcore, abstract art representing data, datamoshed, obfuscate light, immersed within a glitch network, glitch art aesthetic, glitchwave, snowcrash, explosion of data fragments, lost in code, datamoshing, glitchcore witchcore, glitchcore rebirth"
0076.png,"a close up of a computer screen with a lot of text, glitchcore witchcore, glitch art aesthetic, glitchwave, corrupted data, datamoshing, glitchcore, static colorful noise glitch, glitchpunk, corrupted file, digital glitches, vhs artifacts, immersed within a glitch network, abstract art representing data"
0097.png,"arafed image of a man in a black shirt and a green and white background, glitchcore witchcore, glitchcore, glitchpunk, glitchwave, glitch art aesthetic, 15081959 21121991 01012000 4k, glitchcore rebirth"
0023.png,"a close up of a computer screen with a lot of text, glitchcore witchcore, beautiful cosmic neural network, immersed within a glitch network, glitch art aesthetic, glitchcore, abstract art representing data, melting pixels, glitchwave, datamoshing, static colorful noise glitch, glitchpunk, datamoshed, corrupted file"
