image,prompt
0019.png,"fireworks in the sky above a crowd of people on a field, giant explosion, big explosion, ground explosion, huge explosion, spectacular splatter explosion, explosion in background, underwater explosion, michael bay style, explosion in the background, huge explosions, artillery explosions, bomb explosion, spaceship exploding, big explosion on the background, realistic explosion, exploding powder, planet earth exploding"
0055.png,"people sitting on the grass in a field watching a large firework, explosion in background, an atom bomb explosion in mumbai, big explosion on the background, explosion in the background, huge explosion, big explosion, nuclear bomb explosion, michael bay style, giant explosion, artillery explosions, bomb explosion, spaceship exploding, huge explosions, ground explosion, underwater explosion, nuclear bomb blast"
0095.png,"there are many people walking on the beach at night, pyrotechnics, firework, huge explosion, pyromallis, big explosion, huge explosions, [ fireworks in the sky ]!!, large explosions, giant explosion, fire and explosion, michael bay style, fire particles in front, explosions!, exploding powder, flash explosions, emitting smoke and sparks, explosions"
0051.png,"people sitting on the grass watching a large firework, an atom bomb explosion in mumbai, giant explosion, big explosion, huge explosion, explosion in background, huge explosions, spaceship exploding, big explosion on the background, ground explosion, underwater explosion, explosion in the background, planet earth exploding, artillery explosions, michael bay style, nuclear bomb explosion, realistic explosion"
0040.png,"fireworks in the sky above a crowd of people on a beach, underwater explosion, giant explosion, huge explosion, spectacular splatter explosion, big explosion, huge explosions, explosion in background, artillery explosions, michael bay style, planet earth exploding, nuclear bomb explosion, an atom bomb explosion in mumbai, ground explosion, explosion in the background, fire and explosion, powerful explosions"
0080.png,"people are sitting on the grass at the beach watching the fireworks, big explosion on the background, explosion in background, explosion in the background, giant explosion, big explosion, nuclear explosion!!!, huge explosion, nuclear bomb explosion, nuclear bomb blast, an atom bomb explosion in mumbai, volcano exploding, explosions in the background, planet earth exploding, nuclear explosion, bright explosion"
0075.png,"people are sitting on the grass at the beach watching fireworks, an atom bomb explosion in mumbai, explosion in background, explosion in the background, nuclear explosion!!!, big explosion on the background, nuclear bomb explosion, nuclear bomb blast, giant explosion, huge explosion, big explosion, planet earth exploding, explosions in the background, powerful explosions, volcano exploding, michael bay style"
0088.png,"people are sitting on the grass at a beach with a kite, big explosion, huge explosion, big explosion on the background, explosion in background, giant explosion, explosion in the background, planet earth exploding, nuclear bomb explosion, spaceship exploding, realistic explosion, huge explosions, bomb explosion, nuclear bomb blast, explosions in the background, nuclear explosion!!!, michael bay style"
0083.png,"people are sitting on the grass at the beach watching the sun set, explosion in background, big explosion on the background, explosion in the background, big explosion, giant explosion, huge explosion, nuclear bomb explosion, nuclear explosion!!!, volcano exploding, ground explosion, nuclear bomb blast, underwater explosion, an atom bomb explosion in mumbai, bright explosion, realistic explosion, huge explosions"
0076.png,"people are sitting on the beach watching fireworks go off, an atom bomb explosion in mumbai, explosion in background, explosion in the background, nuclear explosion!!!, powerful explosions, big explosion on the background, huge explosion, giant explosion, underwater explosion, nuclear bomb explosion, planet earth exploding, michael bay style, nuclear bomb blast, big explosion, explosions in the background"
0097.png,"there is a blurry image of a street with a person walking on it, firework, pyrotechnics, spaceship exploding, [ fireworks in the sky ]!!, fire particles in front, big explosion, huge explosion, planet earth exploding, pyromallis, explosive entrance, powerful explosions, emitting smoke and sparks, fire and explosion, huge explosions, large explosions"
0023.png,"fireworks are lit up in the sky over a crowd of people, explosion in background, michael bay style, huge explosion, giant explosion, explosion in the background, underwater explosion, big explosion, huge explosions, an atom bomb explosion in mumbai, tel aviv under rocket attack, ground explosion, big explosion on the background, nuclear bomb explosion, planet earth exploding"
0067.png,"people are sitting on the grass at the beach watching fireworks, an atom bomb explosion in mumbai, explosion in background, giant explosion, nuclear bomb explosion, explosion in the background, nuclear explosion!!!, huge explosion, big explosion on the background, big explosion, underwater explosion, nuclear bomb blast, huge explosions, explosions in the background, powerful explosions, michael bay style"
0084.png,"people are sitting on the grass at the beach watching the sun set, explosion in background, explosion in the background, big explosion on the background, giant explosion, big explosion, huge explosion, nuclear bomb explosion, nuclear explosion!!!, an atom bomb explosion in mumbai, underwater explosion, nuclear bomb blast, volcano exploding, ground explosion, bright explosion, realistic explosion, huge explosions"
0028.png,"fireworks in the sky above a crowd of people on a field, giant explosion, huge explosion, big explosion, spectacular splatter explosion, explosion in background, ground explosion, [ fireworks in the sky ]!!, underwater explosion, michael bay style, huge explosions, explosion in the background, exploding powder, artillery explosions, explosions in the background, spaceship exploding"
0009.png,"people sitting on the grass watching a firework in the sky, explosion in background, giant explosion, big explosion, explosion in the background, huge explosion, realistic explosion, huge explosions, spaceship exploding, big explosion on the background, ground explosion, underwater explosion, michael bay style, looks at the big explosion, exploding powder, artillery explosions, planet earth exploding, fire and explosion"
0029.png,"fireworks in the sky above a crowd of people on a field, giant explosion, huge explosion, ground explosion, big explosion, spectacular splatter explosion, explosion in background, [ fireworks in the sky ]!!, explosion in the background, michael bay style, huge explosions, underwater explosion, big explosion on the background, explosions in the background, planet earth exploding, artillery explosions"
0027.png,"fireworks in the sky above a crowd of people on a field, giant explosion, huge explosion, big explosion, spectacular splatter explosion, ground explosion, explosion in background, explosion in the background, huge explosions, [ fireworks in the sky ]!!, michael bay style, underwater explosion, spaceship exploding, exploding powder, planet earth exploding, big explosion on the background"
0065.png,"people are sitting on the grass at the beach watching fireworks, an atom bomb explosion in mumbai, explosion in background, explosion in the background, big explosion on the background, ground explosion, powerful explosions, nuclear bomb explosion, huge explosion, underwater explosion, giant explosion, michael bay style, nuclear bomb blast, nuclear explosion!!!, explosions in the background, huge explosions"
0062.png,"people are sitting on the grass at the beach watching fireworks, an atom bomb explosion in mumbai, explosion in background, ground explosion, explosion in the background, huge explosions, giant explosion, big explosion on the background, explosions in the background, powerful explosions, [ fireworks in the sky ]!!, michael bay style, huge explosion, large electrical gold sparks, flash explosions"
0042.png,"fireworks in the sky above a beach with people sitting on the grass, giant explosion, [ fireworks in the sky ]!!, big explosion, huge explosion, huge explosions, underwater explosion, michael bay style, explosion in background, ground explosion, explosion in the background, fire and explosion, skyfire, spectacular splatter explosion, artillery explosions, bright explosion, spaceship exploding"
0072.png,"people are sitting on the grass at the beach watching fireworks, explosion in background, explosion in the background, big explosion on the background, an atom bomb explosion in mumbai, nuclear explosion!!!, huge explosion, nuclear bomb explosion, giant explosion, big explosion, explosions in the background, nuclear bomb blast, ground explosion, powerful explosions, planet earth exploding, huge explosions"
0046.png,"people sitting on the grass watching a large firework, giant explosion, huge explosion, big explosion, an atom bomb explosion in mumbai, michael bay style, huge explosions, explosion in background, explosion in the background, planet earth exploding, artillery explosions, ground explosion, spaceship exploding, spectacular splatter explosion, big explosion on the background, [ fireworks in the sky ]!!"
0010.png,"fireworks in the sky over a large body of water, giant explosion, explosion in background, big explosion, huge explosion, explosion in the background, huge explosions, michael bay style, underwater explosion, realistic explosion, big explosion on the background, spaceship exploding, ground explosion, fire and explosion, nuclear bomb explosion, bomb explosion, artillery explosions, planet earth exploding"
0031.png,"fireworks in the sky above a crowd of people on a field, giant explosion, ground explosion, explosion in background, spectacular splatter explosion, huge explosion, big explosion, explosion in the background, michael bay style, underwater explosion, huge explosions, [ fireworks in the sky ]!!, big explosion on the background, an atom bomb explosion in mumbai, exploding powder"
0078.png,"people are sitting on the grass at the beach watching the sun set, explosion in background, big explosion on the background, explosion in the background, nuclear explosion!!!, nuclear bomb blast, nuclear bomb explosion, an atom bomb explosion in mumbai, huge explosion, giant explosion, volcano exploding, big explosion, planet earth exploding, powerful explosions, explosions in the background, underwater explosion"
0005.png,"fireworks in the sky above a boat on a body of water, [ fireworks in the sky ]!!, giant explosion, underwater explosion, firework, explosion in background, spaceship exploding, explosion in the background, big explosion, fire and explosion, huge explosion, spectacular splatter explosion, explosions in the background, ships on fire, huge explosions, explosions in the sky"
0064.png,"people are sitting on the grass at the beach watching fireworks, explosion in background, explosion in the background, giant explosion, big explosion on the background, huge explosion, an atom bomb explosion in mumbai, ground explosion, big explosion, huge explosions, powerful explosions, michael bay style, explosions in the background, nuclear bomb explosion, nuclear explosion!!!, explosions in background"
0030.png,"fireworks in the sky above a crowd of people on a field, giant explosion, ground explosion, michael bay style, explosion in background, huge explosion, explosion in the background, spectacular splatter explosion, underwater explosion, big explosion, [ fireworks in the sky ]!!, huge explosions, explosions in the background, planet earth exploding, big explosion on the background"
0021.png,"fireworks are lit up in the sky over a baseball field, explosion in background, giant explosion, big explosion, huge explosion, explosion in the background, underwater explosion, huge explosions, michael bay style, big explosion on the background, nuclear bomb explosion, spaceship exploding, ground explosion, planet earth exploding, flash explosions, an atom bomb explosion in mumbai"
0026.png,"fireworks in the sky above a crowd of people on a field, giant explosion, huge explosion, big explosion, explosion in background, explosion in the background, huge explosions, spectacular splatter explosion, michael bay style, ground explosion, underwater explosion, [ fireworks in the sky ]!!, exploding powder, big explosion on the background, spaceship exploding, artillery explosions"
0035.png,"fireworks in the sky above a crowd of people on a field, giant explosion, michael bay style, underwater explosion, spectacular splatter explosion, [ fireworks in the sky ]!!, ground explosion, huge explosions, artillery explosions, huge explosion, explosion in background, big explosion, explosions in the background, youtube video screenshot, explosion in the background, powerful explosions"
0032.png,"fireworks in the sky over a baseball field with people watching, giant explosion, huge explosion, big explosion, underwater explosion, explosion in background, michael bay style, explosion in the background, spaceship exploding, ground explosion, huge explosions, planet earth exploding, artillery explosions, fire and explosion, big explosion on the background, realistic explosion, bomb explosion, nuclear bomb explosion"
0069.png,"people are sitting on the beach watching a large firework, explosion in background, an atom bomb explosion in mumbai, explosion in the background, huge explosion, big explosion on the background, giant explosion, nuclear explosion!!!, big explosion, explosions in the background, nuclear bomb explosion, powerful explosions, underwater explosion, nuclear bomb blast, michael bay style, huge explosions"
0094.png,"there are many people standing in a field at a concert, firework, pyrotechnics, [ fireworks in the sky ]!!, huge explosion, huge explosions, big explosion, pyromallis, emitting smoke and sparks, screenshot of found footage, powerful explosions, explosions!, large explosions, exploding powder, fire and explosion, flash explosions, michael bay style, fire and explosions"
0018.png,"fireworks in the sky above a lake with people sitting on the grass, giant explosion, big explosion, ground explosion, huge explosion, spectacular splatter explosion, explosion in background, explosion in the background, huge explosions, underwater explosion, bright explosion, big explosion on the background, realistic explosion, explosion, exploding powder, planet earth exploding, spaceship exploding, large explosions"
